,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
738,779123168116150273,12595,3978,Fri Sep 23 01:00:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/uMfhduaate
739,779056095788752897,15793,4941,Thu Sep 22 20:33:42 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/I1bJUzUEW5
740,778990705243029504,21358,7941,Thu Sep 22 16:13:51 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/vyx1X5eyWI
741,778774459159379968,0,10894,Thu Sep 22 01:54:34 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
742,778764940568104960,914,401,Thu Sep 22 01:16:45 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/tird9cIlzB
743,778748913645780993,7359,1449,Thu Sep 22 00:13:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1dpEuALnY0
744,778650543019483137,6152,1627,Wed Sep 21 17:42:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SS4TsHlPUG
745,778624900596654080,4958,1101,Wed Sep 21 16:00:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0rRxyBQt32
746,778408200802557953,14565,4749,Wed Sep 21 01:39:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/gJKD9pst5A
747,778396591732486144,0,13373,Wed Sep 21 00:53:04 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
748,778383385161035776,6222,1206,Wed Sep 21 00:00:35 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zP1IvAATWv
749,778286810187399168,11087,3604,Tue Sep 20 17:36:50 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hhTfnPrWfb
750,778039087836069888,9032,2876,Tue Sep 20 01:12:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/t8Y4x9DmVD
751,778027034220126208,6992,1768,Tue Sep 20 00:24:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PxjSmYHfYo
752,777953400541634568,0,3847,Mon Sep 19 19:31:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
753,777885040357281792,6781,1790,Mon Sep 19 15:00:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pL7wbMRW7M
754,777684233540206592,11970,3215,Mon Sep 19 01:42:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SuXcI9B7pQ
755,777641927919427584,0,4638,Sun Sep 18 22:54:18 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
756,777621514455814149,9350,2718,Sun Sep 18 21:33:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BnVTMtUeI3
757,777189768882946048,15273,4725,Sat Sep 17 16:57:35 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/d3aLyCykn7
758,776819012571455488,0,15006,Fri Sep 16 16:24:19 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
759,776813020089548800,5200,1320,Fri Sep 16 16:00:31 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nFqLaOLUQA
760,776477788987613185,9424,3053,Thu Sep 15 17:48:25 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/iJE3F0VozW
761,776249906839351296,0,9979,Thu Sep 15 02:42:54 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
762,776218204058357768,31997,17411,Thu Sep 15 00:36:55 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nzqTNw0744
763,776201521193218049,10223,2751,Wed Sep 14 23:30:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Pq150LeRaC
764,776113305656188928,12522,4745,Wed Sep 14 17:40:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/FYT9QBEnKG
765,776088319444877312,1953,166,Wed Sep 14 16:00:49 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/wOhuABgj6I
766,775898661951791106,0,17907,Wed Sep 14 03:27:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
767,775842724423557120,12485,2918,Tue Sep 13 23:44:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/saRYTcxQeH
768,775733305207554048,14760,4367,Tue Sep 13 16:30:07 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9CcBSxCXXG
769,775729183532220416,13769,4980,Tue Sep 13 16:13:44 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/J39lT3b0rH
770,775364825476165632,7910,3238,Mon Sep 12 16:05:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7FNcBaKbci
771,775350846108426240,10808,4251,Mon Sep 12 15:10:21 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/2OmDMAkkou
772,775085132600442880,16554,5150,Sun Sep 11 21:34:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/wdgY9oHPrT
773,774757898236878852,9106,1927,Sat Sep 10 23:54:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/dS8SCbNF9P
774,774639387460112384,7150,1888,Sat Sep 10 16:03:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/4s5Xlijogu
775,774314403806253056,23176,6075,Fri Sep 09 18:31:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7oQ1wpfxIH
776,773985732834758656,11437,4223,Thu Sep 08 20:45:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/RFWtDqTnAz
777,773922284943896577,6810,1883,Thu Sep 08 16:33:46 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/G56ikYAqFg
778,773704687002451968,7024,1775,Thu Sep 08 02:09:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OqNggd4Oio
779,773670353721753600,5660,1410,Wed Sep 07 23:52:41 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/rA8WUVOLBr
780,773547596996571136,23497,6707,Wed Sep 07 15:44:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nBJ5RE4yHb
781,773336787167145985,0,5540,Wed Sep 07 01:47:12 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
782,773308824254029826,24725,8126,Tue Sep 06 23:56:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0Fcft7jl4N
783,773247561583001600,10024,3493,Tue Sep 06 19:52:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hG5WYT9ECn
784,773191612633579521,10622,4470,Tue Sep 06 16:10:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9HEVPJEioD
